Afghanistan,.af,647500,28513677,33100,12000
Albania,.al,28748,3544808,255000,1100000
Algeria,.dz,2381740,32129324,2199600,1447310
Andorra,.ad,468,69865,35000,23500
Angola,.ao,1246700,10978552,96300,130000
Dominican Republic,.do,8833634,48730,901800,2120400
